timestamp,baro_alt_meter,baro_temp_celcius,baro_pressure_pa,rho
1880000,488.225,0.0,95596.6,1.13585
1888000,488.201,0.0,95596.9,1.13585
1892000,488.093,0.0,95598.1,1.13586
1900000,488.028,0.0,95598.9,1.13587
1904000,488.004,0.0,95599.2,1.13588
1908000,488.14,0.0,95597.6,1.13586
1912000,487.971,0.0,95599.5,1.13588
1920000,488.117,0.0,95597.8,1.13586
1924000,488.028,0.0,95598.9,1.13587
1928000,488.187,0.0,95597.1,1.13585
1932000,488.089,0.0,95598.2,1.13586
1936000,488.098,0.0,95598.1,1.13586
1944000,488.051,0.0,95598.6,1.13587
1948000,488.164,0.0,95597.3,1.13585
1956000,488.079,0.0,95598.3,1.13587
1964000,488.042,0.0,95598.7,1.13587
1972000,488.206,0.0,95596.8,1.13585
1976000,487.934,0.0,95599.9,1.13589
1980000,488.07,0.0,95598.4,1.13587
1984000,487.976,0.0,95599.4,1.13588
1988000,488.159,0.0,95597.4,1.13585
1992000,487.943,0.0,95599.8,1.13588
1996000,488.075,0.0,95598.3,1.13587
2000000,488.065,0.0,95598.4,1.13587
2008000,488.089,0.0,95598.2,1.13586
2012000,488.079,0.0,95598.3,1.13587
2016000,488.056,0.0,95598.5,1.13587
2024000,488.112,0.0,95597.9,1.13586
2032000,488.14,0.0,95597.6,1.13586
2036000,488.037,0.0,95598.8,1.13587
2040000,488.042,0.0,95598.7,1.13587
2044000,487.821,0.0,95601.3,1.1359
2048000,488.187,0.0,95597.0,1.13585
2052000,488.131,0.0,95597.7,1.13586
2060000,488.075,0.0,95598.3,1.13587
2064000,488.126,0.0,95597.7,1.13586
2068000,488.07,0.0,95598.4,1.13587
2072000,487.99,0.0,95599.3,1.13588
2080000,488.089,0.0,95598.2,1.13586
2084000,488.23,0.0,95596.6,1.13585
2092000,488.122,0.0,95597.8,1.13586
2096000,488.206,0.0,95596.8,1.13585
2100000,487.915,0.0,95600.2,1.13589
2104000,487.962,0.0,95599.6,1.13588
2108000,487.99,0.0,95599.3,1.13588
2116000,488.154,0.0,95597.4,1.13586
2120000,488.215,0.0,95596.8,1.13585
2128000,488.004,0.0,95599.2,1.13588
2132000,488.103,0.0,95598.0,1.13586
2136000,488.14,0.0,95597.6,1.13586
2144000,488.178,0.0,95597.2,1.13585
2152000,488.159,0.0,95597.4,1.13586
2156000,487.953,0.0,95599.8,1.13588
2160000,488.145,0.0,95597.5,1.13586
2164000,488.14,0.0,95597.6,1.13586
2172000,488.192,0.0,95597.0,1.13585
2176000,487.967,0.0,95599.6,1.13588
2180000,487.934,0.0,95599.9,1.13589
2184000,488.079,0.0,95598.3,1.13587
2192000,487.906,0.0,95600.3,1.13589
2196000,488.004,0.0,95599.2,1.13588
2200000,488.023,0.0,95598.9,1.13587
2208000,488.192,0.0,95597.0,1.13585
2212000,488.014,0.0,95599.0,1.13587
2216000,488.089,0.0,95598.2,1.13586
2220000,488.046,0.0,95598.7,1.13587
2228000,487.948,0.0,95599.8,1.13588
2236000,488.056,0.0,95598.5,1.13587
2240000,488.051,0.0,95598.6,1.13587
2244000,488.07,0.0,95598.4,1.13587
2252000,487.953,0.0,95599.8,1.13588
2256000,488.0,0.0,95599.2,1.13588
2260000,488.14,0.0,95597.6,1.13586
2264000,488.286,0.0,95595.9,1.13584
2268000,488.145,0.0,95597.5,1.13586
2272000,488.136,0.0,95597.6,1.13586
2280000,488.07,0.0,95598.4,1.13587
2284000,488.046,0.0,95598.6,1.13587
2288000,488.009,0.0,95599.1,1.13588
2292000,487.835,0.0,95601.1,1.1359
2296000,488.169,0.0,95597.2,1.13585
2304000,488.117,0.0,95597.9,1.13586
2312000,488.018,0.0,95599.0,1.13587
2316000,488.154,0.0,95597.4,1.13586
2320000,488.028,0.0,95598.9,1.13587
2324000,488.0,0.0,95599.2,1.13588
2328000,488.122,0.0,95597.8,1.13586
2332000,488.131,0.0,95597.7,1.13586
2336000,488.093,0.0,95598.1,1.13586
