timestamp,ignore_thrust,ignore_attitude,ignore_bodyrate_x,ignore_bodyrate_y,ignore_bodyrate_z,ignore_position,ignore_velocity,ignore_acceleration_force,ignore_alt_hold
354648000,0,1,0,0,0,1,0,1,1
354652000,0,1,0,0,0,1,0,1,1
354656000,0,1,0,0,0,1,0,1,1
354660000,0,1,0,0,0,1,0,1,1
354664000,0,1,0,0,0,1,0,1,1
354668000,0,1,0,0,0,1,0,1,1
354672000,0,1,0,0,0,1,0,1,1
354676000,0,1,0,0,0,1,0,1,1
354676000,0,1,0,0,0,1,0,1,1
354680000,0,1,0,0,0,1,0,1,1
354684000,0,1,0,0,0,1,0,1,1
354688000,0,1,0,0,0,1,0,1,1
354692000,0,1,0,0,0,1,0,1,1
354696000,0,1,0,0,0,1,0,1,1
354700000,0,1,0,0,0,1,0,1,1
354704000,0,1,0,0,0,1,0,1,1
354708000,0,1,0,0,0,1,0,1,1
354712000,0,1,0,0,0,1,0,1,1
354716000,0,1,0,0,0,1,0,1,1
354720000,0,1,0,0,0,1,0,1,1
354724000,0,1,0,0,0,1,0,1,1
354728000,0,1,0,0,0,1,0,1,1
354732000,0,1,0,0,0,1,0,1,1
354732000,0,1,0,0,0,1,0,1,1
354736000,0,1,0,0,0,1,0,1,1
354740000,0,1,0,0,0,1,0,1,1
354744000,0,1,0,0,0,1,0,1,1
354748000,0,1,0,0,0,1,0,1,1
354752000,0,1,0,0,0,1,0,1,1
354756000,0,1,0,0,0,1,0,1,1
354760000,0,1,0,0,0,1,0,1,1
354760000,0,1,0,0,0,1,0,1,1
354764000,0,1,0,0,0,1,0,1,1
354768000,0,1,0,0,0,1,0,1,1
354772000,0,1,0,0,0,1,0,1,1
354776000,0,1,0,0,0,1,0,1,1
354780000,0,1,0,0,0,1,0,1,1
354784000,0,1,0,0,0,1,0,1,1
354788000,0,1,0,0,0,1,0,1,1
354788000,0,1,0,0,0,1,0,1,1
354792000,0,1,0,0,0,1,0,1,1
354796000,0,1,0,0,0,1,0,1,1
354800000,0,1,0,0,0,1,0,1,1
354804000,0,1,0,0,0,1,0,1,1
354808000,0,1,0,0,0,1,0,1,1
354812000,0,1,0,0,0,1,0,1,1
354816000,0,1,0,0,0,1,0,1,1
354816000,0,1,0,0,0,1,0,1,1
354820000,0,1,0,0,0,1,0,1,1
354824000,0,1,0,0,0,1,0,1,1
354828000,0,1,0,0,0,1,0,1,1
354832000,0,1,0,0,0,1,0,1,1
354836000,0,1,0,0,0,1,0,1,1
354840000,0,1,0,0,0,1,0,1,1
354844000,0,1,0,0,0,1,0,1,1
354844000,0,1,0,0,0,1,0,1,1
354848000,0,1,0,0,0,1,0,1,1
354852000,0,1,0,0,0,1,0,1,1
354856000,0,1,0,0,0,1,0,1,1
354860000,0,1,0,0,0,1,0,1,1
354864000,0,1,0,0,0,1,0,1,1
354868000,0,1,0,0,0,1,0,1,1
354872000,0,1,0,0,0,1,0,1,1
354872000,0,1,0,0,0,1,0,1,1
354876000,0,1,0,0,0,1,0,1,1
354880000,0,1,0,0,0,1,0,1,1
354884000,0,1,0,0,0,1,0,1,1
354888000,0,1,0,0,0,1,0,1,1
354892000,0,1,0,0,0,1,0,1,1
354896000,0,1,0,0,0,1,0,1,1
354900000,0,1,0,0,0,1,0,1,1
354900000,0,1,0,0,0,1,0,1,1
354904000,0,1,0,0,0,1,0,1,1
354908000,0,1,0,0,0,1,0,1,1
354912000,0,1,0,0,0,1,0,1,1
354916000,0,1,0,0,0,1,0,1,1
354920000,0,1,0,0,0,1,0,1,1
354924000,0,1,0,0,0,1,0,1,1
354928000,0,1,0,0,0,1,0,1,1
354928000,0,1,0,0,0,1,0,1,1
354932000,0,1,0,0,0,1,0,1,1
354936000,0,1,0,0,0,1,0,1,1
354940000,0,1,0,0,0,1,0,1,1
354944000,0,1,0,0,0,1,0,1,1
354948000,0,1,0,0,0,1,0,1,1
354952000,0,1,0,0,0,1,0,1,1
354956000,0,1,0,0,0,1,0,1,1
354956000,0,1,0,0,0,1,0,1,1
354960000,0,1,0,0,0,1,0,1,1
354964000,0,1,0,0,0,1,0,1,1
354968000,0,1,0,0,0,1,0,1,1
354972000,0,1,0,0,0,1,0,1,1
354976000,0,1,0,0,0,1,0,1,1
354980000,0,1,0,0,0,1,0,1,1
354984000,0,1,0,0,0,1,0,1,1
354984000,0,1,0,0,0,1,0,1,1
354988000,0,1,0,0,0,1,0,1,1
354992000,0,1,0,0,0,1,0,1,1
354996000,0,1,0,0,0,1,0,1,1
355000000,0,1,0,0,0,1,0,1,1
355004000,0,1,0,0,0,1,0,1,1
355008000,0,1,0,0,0,1,0,1,1
355012000,0,1,0,0,0,1,0,1,1
355016000,0,1,0,0,0,1,0,1,1
355020000,0,1,0,0,0,1,0,1,1
355024000,0,1,0,0,0,1,0,1,1
355028000,0,1,0,0,0,1,0,1,1
355032000,0,1,0,0,0,1,0,1,1
355036000,0,1,0,0,0,1,0,1,1
355040000,0,1,0,0,0,1,0,1,1
355040000,0,1,0,0,0,1,0,1,1
355044000,0,1,0,0,0,1,0,1,1
