timestamp,states[0],states[1],states[2],states[3],states[4],states[5],states[6],states[7],states[8],states[9],states[10],states[11],states[12],states[13],states[14],states[15],states[16],states[17],states[18],states[19],states[20],states[21],states[22],states[23],vibe[0],vibe[1],vibe[2],covariances[0],covariances[1],covariances[2],covariances[3],covariances[4],covariances[5],covariances[6],covariances[7],covariances[8],covariances[9],covariances[10],covariances[11],covariances[12],covariances[13],covariances[14],covariances[15],covariances[16],covariances[17],covariances[18],covariances[19],covariances[20],covariances[21],covariances[22],covariances[23],control_mode_flags,pos_horiz_accuracy,pos_vert_accuracy,mag_test_ratio,vel_test_ratio,pos_test_ratio,hgt_test_ratio,tas_test_ratio,hagl_test_ratio,beta_test_ratio,time_slip,gps_check_fail_flags,filter_fault_flags,innovation_check_flags,solution_status_flags,n_states,pre_flt_fail,health_flags,timeout_flags
345828000,0.99993,-0.00433299,0.000876418,-0.0109438,-0.0126592,-0.673924,0.767466,0.10714,100.975,-63.5252,7.25854e-07,2.27998e-06,3.35824e-06,-0.000100784,-0.00118865,-1.63189e-05,0.899214,0.0402618,1.0,0.0,0.0,0.0,0.0,0.0,1.71566e-09,4.53589e-05,0.000214582,4.75495e-09,5.21609e-06,5.32839e-06,3.39379e-05,0.0071031,0.00710205,0.00978361,0.0189447,0.0189437,0.0493517,1.00831e-11,1.00984e-11,1.78132e-11,5.70841e-08,5.42776e-08,5e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8389271,0.194649,0.222152,0.0093313,0.00144922,0.00842057,0.0142484,0.0,0.0,0.0,0.0,0,0,32,831,24,0,0,0
346020000,0.999929,-0.0047363,0.000725385,-0.0109394,-0.0114471,-0.66114,0.775584,0.107307,100.847,-63.3749,7.26509e-07,2.29122e-06,3.36904e-06,-0.000100775,-0.00118865,-1.70927e-05,0.899214,0.0402618,1.0,0.0,0.0,0.0,0.0,0.0,1.79054e-09,4.61488e-05,0.000229495,4.8022e-09,5.20723e-06,5.32025e-06,3.39547e-05,0.00706342,0.0070624,0.00981927,0.0188073,0.0188063,0.0497648,1.00776e-11,1.00925e-11,1.78045e-11,5.70821e-08,5.42765e-08,5.00001e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8389271,0.193942,0.22308,0.000274628,0.00248748,0.00638855,0.00352728,0.0,0.0,0.0,0.0,0,0,32,831,24,0,0,0
346212000,0.999928,-0.0044383,0.00101387,-0.01113,-0.0130332,-0.65126,0.783145,0.104462,100.72,-63.2234,7.28825e-07,2.28919e-06,3.3822e-06,-0.000100829,-0.00118866,-1.77284e-05,0.899214,0.0402618,1.0,0.0,0.0,0.0,0.0,0.0,1.76429e-09,4.66135e-05,0.000232276,4.87068e-09,5.1985e-06,5.3112e-06,3.39716e-05,0.00702402,0.00702302,0.00978703,0.0186711,0.0186701,0.0495609,1.0072e-11,1.00867e-11,1.77958e-11,5.70801e-08,5.42755e-08,5e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8389271,0.193239,0.222623,0.00804106,0.00112996,0.00277943,0.00378505,0.0,0.0,0.0,0.0,0,0,32,831,24,0,0,0
346404000,0.999928,-0.00420927,0.00106137,-0.0112006,-0.0136843,-0.639441,0.791691,0.100391,100.597,-63.0687,7.21824e-07,2.27931e-06,3.40048e-06,-0.000100929,-0.00118864,-1.89138e-05,0.899214,0.0402618,1.0,0.0,0.0,0.0,0.0,0.0,1.78891e-09,4.60686e-05,0.000243818,4.89037e-09,5.18978e-06,5.30234e-06,3.40389e-05,0.0069845,0.00698353,0.00975465,0.0185359,0.018535,0.0493568,1.00665e-11,1.00809e-11,1.7799e-11,5.70783e-08,5.42745e-08,5e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8389271,0.192538,0.222164,0.00644925,0.00456764,0.00467145,0.00879229,0.0,0.0,0.0,0.0,0,0,32,831,24,0,0,0
346596000,0.999927,-0.00445859,0.000861309,-0.0111748,-0.0144638,-0.623916,0.797233,0.0967607,100.475,-62.9127,7.20987e-07,2.2737e-06,3.41737e-06,-0.000101007,-0.00118864,-1.99228e-05,0.899214,0.0402618,1.0,0.0,0.0,0.0,0.0,0.0,1.77016e-09,4.54034e-05,0.0002268,4.90616e-09,5.18103e-06,5.29413e-06,3.40535e-05,0.00694627,0.0069453,0.00978966,0.0184019,0.018401,0.0497672,1.00611e-11,1.00751e-11,1.77903e-11,5.70764e-08,5.42736e-08,5.00001e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8389271,0.191841,0.223086,0.0121638,0.00209651,0.00285582,0.00231108,0.0,0.0,0.0,0.0,0,0,32,831,24,0,0,0
346788000,0.999926,-0.00491181,0.0006007,-0.0111182,-0.0157131,-0.612381,0.80547,0.0939705,100.355,-62.7587,7.23131e-07,2.27016e-06,3.43116e-06,-0.000101064,-0.00118865,-1.96402e-05,0.899214,0.0402618,1.0,0.0,0.0,0.0,0.0,0.0,1.90734e-09,4.48613e-05,0.00023107,4.931e-09,5.17232e-06,5.28624e-06,3.40669e-05,0.00690657,0.00690563,0.00975708,0.0182689,0.0182681,0.0495609,1.00556e-11,1.00694e-11,1.77817e-11,5.70747e-08,5.42727e-08,5e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8389271,0.191146,0.222623,0.00439586,0.00568482,0.00681343,0.000509526,0.0,0.0,0.0,0.0,0,0,32,831,24,0,0,0
346980000,0.999927,-0.00475447,0.000521674,-0.0110907,-0.0172551,-0.601569,0.812634,0.0888284,100.238,-62.6035,7.19305e-07,2.25595e-06,3.44025e-06,-0.000101146,-0.00118864,-1.92487e-05,0.899214,0.0402618,1.0,0.0,0.0,0.0,0.0,0.0,1.67659e-09,4.18962e-05,0.000230625,4.9199e-09,5.16372e-06,5.27763e-06,3.4132e-05,0.00686739,0.00686647,0.00972507,0.018137,0.0181362,0.0493578,1.00502e-11,1.00638e-11,1.77849e-11,5.70731e-08,5.42718e-08,5e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8389271,0.190455,0.222166,0.00651126,0.00541772,0.00613179,0.00527402,0.0,0.0,0.0,0.0,0,0,32,831,24,0,0,0
347172000,0.999929,-0.00456787,0.000256372,-0.0110375,-0.0185601,-0.588584,0.820099,0.0835335,100.127,-62.4464,7.00691e-07,2.24284e-06,3.45274e-06,-0.000101235,-0.00118856,-1.90725e-05,0.899214,0.0402618,1.0,0.0,0.0,0.0,0.0,0.0,1.81673e-09,4.39215e-05,0.000232343,4.88871e-09,5.15517e-06,5.26904e-06,3.41447e-05,0.00682828,0.00682739,0.00969298,0.0180063,0.0180055,0.0491545,1.00449e-11,1.00582e-11,1.77764e-11,5.70714e-08,5.4271e-08,5e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8389271,0.189768,0.221708,0.00642695,0.00471739,0.00436306,0.00157401,0.0,0.0,0.0,0.0,0,0,32,831,24,0,0,0
347364000,0.999929,-0.00430797,1.59469e-05,-0.0110744,-0.0181285,-0.576021,0.832566,0.0784807,100.017,-62.2861,6.90969e-07,2.23468e-06,3.46043e-06,-0.00010129,-0.00118852,-1.95107e-05,0.899214,0.0402618,1.0,0.0,0.0,0.0,0.0,0.0,1.78132e-09,4.31348e-05,0.00023657,4.89455e-09,5.22667e-06,5.34006e-06,3.41566e-05,0.00727963,0.00727865,0.00990062,0.0195753,0.0195744,0.0500518,1.00912e-11,1.01043e-11,1.77679e-11,5.70705e-08,5.42711e-08,5.00001e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8389271,0.197863,0.223723,0.00182524,0.00539341,0.00708274,0.00501323,0.0,0.0,0.0,0.0,0,0,32,831,24,0,0,0
347556000,0.999927,-0.00479197,0.000161651,-0.0111236,-0.0178692,-0.560621,0.839973,0.0703985,99.9116,-62.1263,6.70291e-07,2.21176e-06,3.4682e-06,-0.000101399,-0.00118844,-1.88369e-05,0.899214,0.0402618,1.0,0.0,0.0,0.0,0.0,0.0,1.81241e-09,4.45437e-05,0.000228648,4.983e-09,5.21815e-06,5.33243e-06,3.41668e-05,0.00723887,0.00723792,0.00986904,0.0194324,0.0194315,0.0498489,1.00859e-11,1.00988e-11,1.77595e-11,5.7069e-08,5.42704e-08,5e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8389271,0.197139,0.223269,0.0120535,0.00657398,0.0111917,0.00031541,0.0,0.0,0.0,0.0,0,0,32,831,24,0,0,0
347748000,0.999925,-0.00516438,0.000275217,-0.0111411,-0.0195883,-0.548532,0.845938,0.0642112,99.8065,-61.9675,6.61641e-07,2.19605e-06,3.47916e-06,-0.000101489,-0.00118841,-1.73559e-05,0.899214,0.0402618,1.0,0.0,0.0,0.0,0.0,0.0,1.67815e-09,4.35405e-05,0.000229711,5.04678e-09,5.20971e-06,5.32474e-06,3.42284e-05,0.0071986,0.00719768,0.00983782,0.0192906,0.0192897,0.0496485,1.00807e-11,1.00934e-11,1.77629e-11,5.70677e-08,5.42697e-08,5e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8389271,0.196419,0.222819,0.00781488,0.00474043,0.00397697,0.00104634,0.0,0.0,0.0,0.0,0,0,32,831,24,0,0,0
347940000,0.999923,-0.00510871,-0.000135152,-0.0113467,-0.0195659,-0.537576,0.854728,0.0572125,99.7035,-61.8049,6.48877e-07,2.17908e-06,3.48551e-06,-0.000101568,-0.00118836,-1.68017e-05,0.899214,0.0402618,1.0,0.0,0.0,0.0,0.0,0.0,1.83106e-09,4.54501e-05,0.000227413,5.14196e-09,5.20137e-06,5.31653e-06,3.42377e-05,0.00715765,0.00715678,0.00980635,0.0191499,0.0191491,0.0494475,1.00755e-11,1.0088e-11,1.77546e-11,5.70664e-08,5.42691e-08,5e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8389271,0.195701,0.222368,0.00505774,0.00854896,0.00561544,0.00629314,0.0,0.0,0.0,0.0,0,0,32,831,24,0,0,0
348132000,0.999925,-0.00486889,-0.000235591,-0.0111974,-0.019061,-0.529204,0.866043,0.050476,99.6025,-61.639,6.36456e-07,2.16288e-06,3.49207e-06,-0.000101644,-0.00118832,-1.66466e-05,0.899214,0.0402618,1.0,0.0,0.0,0.0,0.0,0.0,1.80583e-09,4.47747e-05,0.000230391,5.07044e-09,5.19317e-06,5.30817e-06,3.42468e-05,0.00711606,0.00711523,0.0098428,0.0190104,0.0190096,0.0498632,1.00704e-11,1.00826e-11,1.77463e-11,5.70651e-08,5.42686e-08,5.00001e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8389271,0.194987,0.223301,0.00311642,0.00827709,0.00736265,0.000491326,0.0,0.0,0.0,0.0,0,0,32,831,24,0,0,0
