timestamp,roll_body,pitch_body,yaw_body,yaw_sp_move_rate,q_d[0],q_d[1],q_d[2],q_d[3],thrust_body[0],thrust_body[1],thrust_body[2],q_d_valid,roll_reset_integral,pitch_reset_integral,yaw_reset_integral,fw_control_yaw,apply_flaps
109988000,0.000411744,-3.31385e-05,-0.000259645,0.0,1.0,0.00020587,-1.6596e-05,-0.000129819,0.0,0.0,-0.491271,1,0,0,0,0,0
110084000,0.000513183,-0.000245219,-0.000317516,0.0,1.0,0.000256572,-0.00012265,-0.000158727,0.0,0.0,-0.492057,1,0,0,0,0,0
110176000,0.000235744,0.000904648,-0.000695607,0.0,1.0,0.000118029,0.000452283,-0.000347857,0.0,0.0,-0.490348,1,0,0,0,0,0
110268000,0.000104431,0.00162392,-0.000693889,0.0,1.0,5.24969e-05,0.000811943,-0.000346987,0.0,0.0,-0.49081,1,0,0,0,0,0
110364000,-0.0010263,0.00214596,-0.000560765,0.0,0.999999,-0.000512849,0.00107313,-0.000279832,0.0,0.0,-0.490938,1,0,0,0,0,0
110456000,2.80582e-05,0.000779675,-0.000278088,0.0,1.0,1.40833e-05,0.000389835,-0.00013905,0.0,0.0,-0.49095,1,0,0,0,0,0
110548000,0.000584528,0.00122793,-0.000193775,0.0,1.0,0.000292324,0.000613936,-9.7067e-05,0.0,0.0,-0.490631,1,0,0,0,0,0
110644000,0.000105843,0.00149705,-0.000295288,0.0,1.0,5.30321e-05,0.000748516,-0.000147684,0.0,0.0,-0.491505,1,0,0,0,0,0
110736000,0.00114092,0.0007902,-0.000275091,0.0,1.0,0.000570513,0.000395021,-0.000137771,0.0,0.0,-0.490145,1,0,0,0,0,0
110828000,0.000423489,0.00116808,-0.000148937,0.0,1.0,0.000211788,0.000584025,-7.45923e-05,0.0,0.0,-0.490389,1,0,0,0,0,0
110924000,0.000559268,-2.109e-05,-0.00041538,0.0,1.0,0.000279632,-1.06031e-05,-0.000207687,0.0,0.0,-0.491529,1,0,0,0,0,0
111016000,0.00127258,-0.000878459,-0.000436986,0.0,1.0,0.000636193,-0.000439368,-0.000218214,0.0,0.0,-0.49225,1,0,0,0,0,0
111108000,0.00178616,0.000858201,-0.000151351,0.0,1.0,0.000893114,0.000429033,-7.60588e-05,0.0,0.0,-0.491594,1,0,0,0,0,0
111204000,0.00138279,-0.000965242,-7.43529e-05,0.0,1.0,0.000691378,-0.000482646,-3.68427e-05,0.0,0.0,-0.491747,1,0,0,0,0,0
111296000,0.0033698,-0.00100392,-0.000220609,0.0,0.999998,0.00168484,-0.000502148,-0.000109458,0.0,0.0,-0.49201,1,0,0,0,0,0
111388000,0.00275418,-0.000932595,-0.000134487,0.0,0.999999,0.00137706,-0.000466389,-6.66014e-05,0.0,0.0,-0.490956,1,0,0,0,0,0
111484000,0.00358261,-0.000901786,-2.38527e-05,0.0,0.999998,0.0017913,-0.000450914,-1.11186e-05,0.0,0.0,-0.491901,1,0,0,0,0,0
111576000,0.00213873,-0.00140239,0.000229173,0.0,0.999999,0.00106944,-0.000701074,0.000115336,0.0,0.0,-0.491706,1,0,0,0,0,0
111668000,0.00142736,-0.00226473,-0.000188326,0.0,0.999999,0.000713574,-0.00113243,-9.33547e-05,0.0,0.0,-0.490871,1,0,0,0,0,0
111764000,0.00139935,-0.00230245,-0.000337193,0.0,0.999999,0.000699481,-0.00115134,-0.000167791,0.0,0.0,-0.490308,1,0,0,0,0,0
111856000,0.00254501,-0.00219721,-0.000298738,0.0,0.999999,0.00127234,-0.00109879,-0.000147971,0.0,0.0,-0.490557,1,0,0,0,0,0
111948000,0.000801992,-0.00270686,-0.000271397,0.0,0.999999,0.000400812,-0.00135349,-0.000135156,0.0,0.0,-0.490595,1,0,0,0,0,0
112044000,0.000360457,-0.000933295,-0.00020561,0.0,1.0,0.000180181,-0.000466666,-0.000102721,0.0,0.0,-0.490662,1,0,0,0,0,0
112136000,0.00136222,0.000581935,-0.000294034,0.0,1.0,0.000681151,0.000290867,-0.000147215,0.0,0.0,-0.490218,1,0,0,0,0,0
112228000,0.000710125,-0.000157963,-0.000569053,0.0,1.0,0.00035504,-7.90824e-05,-0.000284498,0.0,0.0,-0.490943,1,0,0,0,0,0
112324000,0.00157729,-0.000318078,-0.000222218,0.0,1.0,0.000788629,-0.000159127,-0.000110983,0.0,0.0,-0.49131,1,0,0,0,0,0
112416000,0.00105774,-0.000700153,-0.000378554,0.0,1.0,0.000528803,-0.000350177,-0.000189092,0.0,0.0,-0.491917,1,0,0,0,0,0
112508000,0.000883988,-0.00140071,-0.000233248,0.0,1.0,0.000441912,-0.000700404,-0.000116315,0.0,0.0,-0.490886,1,0,0,0,0,0
112604000,0.000594151,-0.00105499,-0.000331772,0.0,1.0,0.000296988,-0.000527543,-0.000165729,0.0,0.0,-0.490918,1,0,0,0,0,0
112696000,-9.14251e-05,-0.00102927,-0.000563549,0.0,1.0,-4.58576e-05,-0.000514622,-0.000281798,0.0,0.0,-0.490902,1,0,0,0,0,0
112788000,-0.000616213,-0.000389088,-0.000530144,0.0,1.0,-0.000308158,-0.000194462,-0.000265132,0.0,0.0,-0.491863,1,0,0,0,0,0
112884000,-5.94459e-05,0.000393986,-0.000718758,0.0,1.0,-2.96522e-05,0.000197004,-0.000359373,0.0,0.0,-0.491823,1,0,0,0,0,0
112976000,0.000968123,-0.000405297,-0.000805613,0.0,1.0,0.00048398,-0.000202843,-0.000402708,0.0,0.0,-0.492172,1,0,0,0,0,0
113068000,0.00175261,1.02862e-05,-0.000835722,0.0,1.0,0.000876308,4.77693e-06,-0.000417866,0.0,0.0,-0.493135,1,0,0,0,0,0
113164000,0.00144613,0.000742826,-0.000639893,0.0,1.0,0.000723181,0.000371182,-0.000320215,0.0,0.0,-0.492718,1,0,0,0,0,0
113256000,-0.000480904,-0.000246497,-0.000701311,0.0,1.0,-0.000240495,-0.000123164,-0.000350685,0.0,0.0,-0.491819,1,0,0,0,0,0
113348000,0.000274261,0.000518524,-0.000809965,0.0,1.0,0.000137235,0.000259207,-0.000405018,0.0,0.0,-0.491638,1,0,0,0,0,0
113444000,0.000552335,-0.000989882,-0.000774366,0.0,1.0,0.000275976,-0.000495048,-0.000387046,0.0,0.0,-0.492167,1,0,0,0,0,0
113536000,-0.000120382,-0.00180081,-0.000584539,0.0,1.0,-6.04541e-05,-0.000900385,-0.000292323,0.0,0.0,-0.49102,1,0,0,0,0,0
113628000,0.00191495,-0.00274686,-0.000450494,0.0,0.999999,0.000957165,-0.00137364,-0.000223932,0.0,0.0,-0.491487,1,0,0,0,0,0
113724000,0.0016189,-0.00176859,-0.00052527,0.0,0.999999,0.000809217,-0.000884505,-0.000261919,0.0,0.0,-0.491194,1,0,0,0,0,0
113816000,0.0022758,-0.00109754,-0.000399622,0.0,0.999999,0.00113779,-0.000548996,-0.000199186,0.0,0.0,-0.491169,1,0,0,0,0,0
