timestamp,vel_pos_innov[0],vel_pos_innov[1],vel_pos_innov[2],vel_pos_innov[3],vel_pos_innov[4],vel_pos_innov[5],mag_innov[0],mag_innov[1],mag_innov[2],heading_innov,airspeed_innov,beta_innov,flow_innov[0],flow_innov[1],hagl_innov,vel_pos_innov_var[0],vel_pos_innov_var[1],vel_pos_innov_var[2],vel_pos_innov_var[3],vel_pos_innov_var[4],vel_pos_innov_var[5],mag_innov_var[0],mag_innov_var[1],mag_innov_var[2],heading_innov_var,airspeed_innov_var,beta_innov_var,flow_innov_var[0],flow_innov_var[1],hagl_innov_var,output_tracking_error[0],output_tracking_error[1],output_tracking_error[2],drag_innov[0],drag_innov[1],drag_innov_var[0],drag_innov_var[1],aux_vel_innov[0],aux_vel_innov[1]
383156000,0.0451478,0.0115152,-0.00306493,0.0253916,0.0245361,0.0178223,-0.00311035,-0.0307683,-0.795078,4.09689e-05,0.0,0.0,0.0,0.0,0.0,0.25733,0.25733,0.572378,0.26972,0.26972,4.05009,0.00751964,0.00519539,0.00751992,0.0901393,0.0,0.0,0.0,0.0,0.0,0.000180214,0.00312489,0.00592982,0.0,0.0,0.0,0.0,0.0,0.0
383348000,0.0451453,0.00195104,-0.0077768,0.0371992,0.0187988,0.0931702,-0.00311035,-0.0307683,-0.795078,-0.000417071,0.0,0.0,0.0,0.0,0.0,0.257332,0.257332,0.572385,0.26972,0.26972,4.04998,0.00751964,0.00519539,0.00751992,0.0901393,0.0,0.0,0.0,0.0,0.0,0.000196623,0.00360586,0.00683713,0.0,0.0,0.0,0.0,0.0,0.0
383540000,0.0437292,0.00265894,0.00118554,0.0376424,0.0296021,-0.00964355,-0.00311035,-0.0307683,-0.795078,0.00308037,0.0,0.0,0.0,0.0,0.0,0.257332,0.257332,0.572391,0.269721,0.269721,4.05003,0.00751964,0.00519539,0.00751992,0.0901393,0.0,0.0,0.0,0.0,0.0,0.000197221,0.00358464,0.00686603,0.0,0.0,0.0,0.0,0.0,0.0
383732000,0.0435424,0.00103589,0.00157928,0.0261655,0.0171661,-0.0465698,-0.00311035,-0.0307683,-0.795078,0.00156588,0.0,0.0,0.0,0.0,0.0,0.257332,0.257332,0.572397,0.269722,0.269722,4.05009,0.00751964,0.00519539,0.00751992,0.0901393,0.0,0.0,0.0,0.0,0.0,0.000200918,0.00353924,0.00659111,0.0,0.0,0.0,0.0,0.0,0.0
383924000,0.0455328,-0.00806184,-0.0043481,0.0376698,0.0193481,0.0254211,-0.00311035,-0.0307683,-0.795078,-0.00379016,0.0,0.0,0.0,0.0,0.0,0.25733,0.257331,0.572403,0.269722,0.269722,4.04998,0.00751964,0.00519539,0.00751992,0.0901392,0.0,0.0,0.0,0.0,0.0,0.000207761,0.00371142,0.00681761,0.0,0.0,0.0,0.0,0.0,0.0
384116000,0.0451359,-0.00488425,-0.00176555,0.0382753,0.0297241,-0.00402832,-0.00311035,-0.0307683,-0.795078,8.89497e-05,0.0,0.0,0.0,0.0,0.0,0.25733,0.25733,0.57241,0.269722,0.269722,4.05003,0.00751964,0.00519539,0.00751992,0.0901392,0.0,0.0,0.0,0.0,0.0,0.00021076,0.00359588,0.00690035,0.0,0.0,0.0,0.0,0.0,0.0
384308000,0.037839,-0.0110324,-0.00482255,0.0265469,0.00518799,-0.00860596,-0.00311035,-0.0307683,-0.795078,0.00319345,0.0,0.0,0.0,0.0,0.0,0.257331,0.257331,0.572416,0.269723,0.269723,4.04982,0.00751964,0.00519539,0.00751992,0.0901392,0.0,0.0,0.0,0.0,0.0,0.000207377,0.00389748,0.00730937,0.0,0.0,0.0,0.0,0.0,0.0
384500000,0.0389338,-0.0194833,0.00473666,0.0503101,-0.000747681,-0.036377,-0.00311035,-0.0307683,-0.795078,0.00326281,0.0,0.0,0.0,0.0,0.0,0.257331,0.257332,0.572423,0.269723,0.269723,4.04988,0.00751964,0.00519539,0.00751992,0.0901393,0.0,0.0,0.0,0.0,0.0,0.000225469,0.00517327,0.0102156,0.0,0.0,0.0,0.0,0.0,0.0
384692000,0.0391626,-0.0179323,0.00325024,0.0280034,0.00146484,0.0289001,-0.00311035,-0.0307683,-0.795078,0.0047056,0.0,0.0,0.0,0.0,0.0,0.257332,0.257332,0.57243,0.269723,0.269723,4.05026,0.00751964,0.00519539,0.00751992,0.0901392,0.0,0.0,0.0,0.0,0.0,0.000229623,0.00499146,0.0095658,0.0,0.0,0.0,0.0,0.0,0.0
384884000,0.0293826,-0.0243599,0.00130296,0.0513103,0.0175018,-0.0833435,-0.00311035,-0.0307683,-0.795078,-0.00753478,0.0,0.0,0.0,0.0,0.0,0.257332,0.257333,0.572437,0.269724,0.269724,4.05032,0.00751964,0.00519539,0.00751992,0.0901392,0.0,0.0,0.0,0.0,0.0,0.000227161,0.00471126,0.00903257,0.0,0.0,0.0,0.0,0.0,0.0
385076000,0.0307746,-0.0257312,-0.00168836,0.0296795,-0.00384521,0.0553284,-0.00311035,-0.0307683,-0.795078,-0.000962572,0.0,0.0,0.0,0.0,0.0,0.257333,0.257334,0.572376,0.269724,0.269724,4.05012,0.00751964,0.00519539,0.00751992,0.0901392,0.0,0.0,0.0,0.0,0.0,0.000217701,0.00472104,0.0087788,0.0,0.0,0.0,0.0,0.0,0.0
385268000,0.0313448,-0.0355615,-0.00184798,0.0254335,-0.0172424,0.0953979,-0.00311035,-0.0307683,-0.795078,-0.000504087,0.0,0.0,0.0,0.0,0.0,0.257355,0.257355,0.572433,0.2698,0.2698,4.05018,0.00751964,0.00519539,0.00751992,0.0901392,0.0,0.0,0.0,0.0,0.0,0.000172465,0.0040777,0.0083943,0.0,0.0,0.0,0.0,0.0,0.0
385460000,0.033379,-0.0319399,-0.00340259,0.0292688,-0.0111389,0.0703735,-0.00311035,-0.0307683,-0.795078,-0.00027003,0.0,0.0,0.0,0.0,0.0,0.257354,0.257355,0.57244,0.2698,0.2698,4.05007,0.00751964,0.00519539,0.00751992,0.0901392,0.0,0.0,0.0,0.0,0.0,0.000185599,0.00439939,0.00911684,0.0,0.0,0.0,0.0,0.0,0.0
385652000,0.0334363,-0.0371243,0.000917196,0.0539945,-0.0203705,0.0304565,-0.00311035,-0.0307683,-0.795078,0.000827487,0.0,0.0,0.0,0.0,0.0,0.257352,0.257353,0.572447,0.2698,0.2698,4.05013,0.00751964,0.00519539,0.00751992,0.0901392,0.0,0.0,0.0,0.0,0.0,0.000220957,0.0047055,0.00971497,0.0,0.0,0.0,0.0,0.0,0.0
385844000,0.0221625,-0.036945,-0.00610048,0.0533355,-0.040863,-0.0359802,-0.00311035,-0.0307683,-0.795078,0.01675,0.0,0.0,0.0,0.0,0.0,0.25735,0.257351,0.572453,0.2698,0.2698,4.05018,0.00751964,0.00519539,0.00751992,0.0901392,0.0,0.0,0.0,0.0,0.0,0.000274111,0.00571881,0.0116115,0.0,0.0,0.0,0.0,0.0,0.0
386036000,0.0198479,-0.0370766,-0.00132698,0.0209436,-0.0241547,0.0455933,-0.00311035,-0.0307683,-0.795078,-0.00094144,0.0,0.0,0.0,0.0,0.0,0.257349,0.257349,0.572389,0.269799,0.2698,4.04997,0.00751964,0.00519539,0.00751992,0.0901392,0.0,0.0,0.0,0.0,0.0,0.000240453,0.00510437,0.0103982,0.0,0.0,0.0,0.0,0.0,0.0
386228000,0.0249009,-0.0373575,-0.0121711,0.0364043,-0.0306396,0.0106506,-0.00311035,-0.0307683,-0.795078,-0.00353393,0.0,0.0,0.0,0.0,0.0,0.257349,0.25735,0.572395,0.269799,0.269799,4.05012,0.00751964,0.00519539,0.00751992,0.0901392,0.0,0.0,0.0,0.0,0.0,0.000231394,0.00503624,0.010271,0.0,0.0,0.0,0.0,0.0,0.0
386420000,0.018703,-0.0362004,-0.00548023,0.0188814,-0.0205383,0.138397,-0.00311035,-0.0307683,-0.795078,0.00204774,0.0,0.0,0.0,0.0,0.0,0.257351,0.257351,0.5724,0.269799,0.269799,4.0499,0.00751964,0.00519539,0.00751992,0.0901392,0.0,0.0,0.0,0.0,0.0,0.000222536,0.0048687,0.00973433,0.0,0.0,0.0,0.0,0.0,0.0
386612000,0.0190886,-0.0453969,-0.00679964,0.0258258,-0.0128784,0.0515747,-0.00311035,-0.0307683,-0.795078,-0.00849931,0.0,0.0,0.0,0.0,0.0,0.257351,0.257352,0.572406,0.269798,0.269799,4.05005,0.00751964,0.00519539,0.00751992,0.0901392,0.0,0.0,0.0,0.0,0.0,0.00020356,0.00422504,0.00801888,0.0,0.0,0.0,0.0,0.0,0.0
