timestamp,noutputs,output[0],output[1],output[2],output[3],output[4],output[5],output[6],output[7],output[8],output[9],output[10],output[11],output[12],output[13],output[14],output[15]
313888000,6,1488.09,1492.68,1493.56,1481.5,1500.0,1500.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
313984000,6,1490.34,1491.57,1488.35,1488.75,1500.0,1500.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
314080000,6,1492.8,1482.88,1491.43,1487.07,1500.0,1500.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
314176000,6,1492.51,1486.38,1492.42,1484.46,1500.0,1500.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
314272000,6,1490.31,1488.83,1487.68,1491.22,1500.0,1500.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
314368000,6,1491.24,1486.73,1490.58,1488.98,1500.0,1500.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
314464000,6,1490.75,1488.63,1494.36,1484.56,1500.0,1500.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
314560000,6,1495.52,1484.17,1492.99,1486.31,1500.0,1500.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
314660000,6,1492.39,1486.7,1493.24,1484.32,1500.0,1500.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
314756000,6,1486.43,1488.7,1488.33,1490.31,1500.0,1500.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
314852000,6,1492.61,1486.59,1485.96,1490.63,1500.0,1500.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
314948000,6,1488.97,1485.89,1492.25,1491.01,1500.0,1500.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
315044000,6,1487.7,1489.45,1486.67,1491.06,1500.0,1500.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
315140000,6,1486.43,1485.66,1493.78,1481.94,1500.0,1500.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
315236000,6,1491.06,1487.84,1485.88,1491.08,1500.0,1500.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
315332000,6,1485.64,1490.56,1489.77,1489.84,1500.0,1500.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
315428000,6,1493.32,1483.66,1492.47,1488.11,1500.0,1500.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
315524000,6,1488.84,1487.12,1490.83,1489.56,1500.0,1500.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
315620000,6,1489.96,1488.02,1489.22,1485.89,1500.0,1500.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
315716000,6,1496.28,1484.19,1495.6,1485.67,1500.0,1500.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
315812000,6,1489.93,1487.46,1493.53,1487.9,1500.0,1500.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
315908000,6,1487.3,1489.57,1491.42,1489.44,1500.0,1500.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
