timestamp,heartbeat_time,data_rate,rate_multiplier,rate_rx,rate_tx,rate_txerr,remote_system_id,remote_component_id,remote_type,remote_system_status,type,mode,flow_control,forwarding,mavlink_v2,ftp,streams
51000000,0,4e+06,1.0,0.0,14.7171,0.0,0,0,0,0,0,0,0,0,0,1,37
51968000,50964000,4e+06,1.0,0.170319,27.2619,0.0,190,191,6,0,0,2,0,0,1,1,43
52000000,0,4e+06,1.0,0.0,14.6464,0.0,0,0,0,0,0,0,0,0,0,1,37
52968000,51968000,4e+06,1.0,0.0209163,26.8625,0.0,190,191,6,0,0,2,0,0,1,1,43
53000000,0,4e+06,1.0,0.0,14.5946,0.0,0,0,0,0,0,0,0,0,0,1,37
53968000,52968000,4e+06,1.0,0.453187,27.1464,0.0,190,191,6,0,0,2,0,0,1,1,43
53984000,53980000,4e+06,1.0,0.453187,27.1464,0.0,190,191,6,0,0,2,0,0,1,1,43
54000000,0,4e+06,1.0,0.0,14.5817,0.0,0,0,0,0,0,0,0,0,0,1,37
54984000,53980000,4e+06,1.0,1.31574,26.9034,0.0,190,191,6,0,0,2,0,0,1,1,43
54992000,54988000,4e+06,1.0,1.31574,26.9034,0.0,190,191,6,0,0,2,0,0,1,1,43
55000000,0,4e+06,1.0,0.0,14.5857,0.0,0,0,0,0,0,0,0,0,0,1,37
55992000,55988000,4e+06,1.0,1.31574,26.8247,0.0,190,191,6,0,0,2,0,0,1,1,43
56000000,0,4e+06,1.0,0.0,14.7052,0.0,0,0,0,0,0,0,0,0,0,1,37
56992000,56988000,4e+06,1.0,1.31574,26.7819,0.0,190,191,6,0,0,2,0,0,1,1,43
57000000,0,4e+06,1.0,0.0,14.6145,0.0,0,0,0,0,0,0,0,0,0,1,37
57992000,57988000,4e+06,1.0,1.31574,26.9542,0.0,190,191,6,0,0,2,0,0,1,1,43
58000000,0,4e+06,1.0,0.0,14.6155,0.0,0,0,0,0,0,0,0,0,0,1,37
58992000,57988000,4e+06,1.0,1.31574,26.8108,0.0,190,191,6,0,0,2,0,0,1,1,43
59000000,0,4e+06,1.0,0.0,14.5498,0.0,0,0,0,0,0,0,0,0,0,1,37
59992000,58992000,4e+06,1.0,1.38048,26.8297,0.0,190,191,6,0,0,2,0,0,1,1,43
60000000,0,4e+06,1.0,0.0,14.6066,0.0,0,0,0,0,0,0,0,0,0,1,37
60992000,59992000,4e+06,1.0,1.31574,26.8018,0.0,190,191,6,0,0,2,0,0,1,1,43
61000000,0,4e+06,1.0,0.0,14.7062,0.0,0,0,0,0,0,0,0,0,0,1,37
61992000,60992000,4e+06,1.0,1.31574,26.8914,0.0,190,191,6,0,0,2,0,0,1,1,43
62000000,0,4e+06,1.0,0.0,14.6355,0.0,0,0,0,0,0,0,0,0,0,1,37
