timestamp,voltage_v,voltage_filtered_v,current_a,current_filtered_a,average_current_a,discharged_mah,remaining,scale,temperature,cell_count,voltage_cell_v[0],voltage_cell_v[1],voltage_cell_v[2],voltage_cell_v[3],max_cell_voltage_delta,capacity,cycle_count,run_time_to_empty,average_time_to_empty,serial_number,connected,system_source,priority,is_powering_off,warning
43320000,11.4237,11.4564,-1.0,-1.0,0.0,0.0,0.579606,1.06055,0.0,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
43812000,11.4101,11.4428,-1.0,-1.0,0.0,0.0,0.571405,1.0618,0.0,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
44304000,11.3966,11.4293,-1.0,-1.0,0.0,0.0,0.563205,1.06306,0.0,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
44796000,11.3831,11.4158,-1.0,-1.0,0.0,0.0,0.555006,1.06432,0.0,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
45288000,11.3696,11.4022,-1.0,-1.0,0.0,0.0,0.546805,1.06558,0.0,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
45780000,11.356,11.3887,-1.0,-1.0,0.0,0.0,0.538605,1.06685,0.0,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
46272000,11.3425,11.3752,-1.0,-1.0,0.0,0.0,0.530406,1.06812,0.0,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
46764000,11.329,11.3616,-1.0,-1.0,0.0,0.0,0.522205,1.06939,0.0,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
47256000,11.3233,11.349,-1.0,-1.0,0.0,0.0,0.514561,1.07058,0.0,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
47748000,11.3233,11.3404,-1.0,-1.0,0.0,0.0,0.50931,1.07139,0.0,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
