timestamp,lat,lon,alt,alt_ellipsoid,delta_alt,vel_n,vel_e,vel_d,yaw,eph,epv,terrain_alt,lat_lon_reset_counter,alt_reset_counter,terrain_alt_valid,dead_reckoning
32276000,47.3977420075,8.5455940966,519.006,29.725,-0.0,0.00205391,0.00806291,-2.98793,0.00756274,2.2982,2.40033,0.0,2,0,0,0
32468000,47.397742018,8.54559410938,519.58,30.2789,-0.0,0.00214105,0.00830738,-2.9887,0.00771857,2.29897,2.40039,0.0,2,0,0,0
32668000,47.3977420232,8.54559409958,520.178,30.857,-0.0,-0.000672317,0.00670165,-2.99012,0.00807806,2.29898,2.4004,0.0,2,0,0,0
32860000,47.3977420201,8.54559408685,520.752,31.4106,-0.0,-0.00282634,0.00364212,-2.99222,0.0086239,2.2989,2.40036,0.0,2,0,0,0
33052000,47.3977420214,8.54559408941,521.327,31.9656,-0.0,-0.000786452,0.00412691,-2.9899,0.00836036,2.29883,2.40045,0.0,2,0,0,0
33244000,47.3977420404,8.54559409464,521.9,32.5188,-0.0,0.00160959,0.00414387,-2.99221,0.00830167,2.29876,2.4004,0.0,2,0,0,0
33436000,47.397742069,8.54559411111,522.475,33.0742,-0.0,0.0020026,0.00436436,-2.99255,0.00820285,2.29869,2.40036,0.0,2,0,0,0
33628000,47.3977420994,8.54559414065,523.051,33.6298,-0.0,-0.000764816,0.00697065,-2.99134,0.00818059,2.29862,2.40032,0.0,2,0,0,0
33820000,47.3977421313,8.54559416665,523.625,34.1839,-0.0,-0.000757631,0.00817995,-2.99344,0.00790534,2.29854,2.4004,0.0,2,0,0,0
34012000,47.3977421572,8.54559418856,524.199,34.7483,-0.0,-0.00588703,0.00362042,-2.99601,0.00823346,2.29847,2.40036,0.0,2,0,0,0
34204000,47.3977421695,8.54559421067,524.775,35.3038,-0.0,-0.0104301,-0.00153471,-2.99918,0.00833972,2.2984,2.40032,0.0,2,0,0,0
34396000,47.3977421644,8.54559423699,525.351,35.8604,-0.0,-0.0161283,-0.00393631,-2.9976,0.00818551,2.29833,2.40027,0.0,2,0,0,0
34596000,47.3977421639,8.54559426208,525.952,36.4412,-0.0,-0.0149264,-0.00487399,-2.9964,0.00772845,2.29832,2.40029,0.0,2,0,0,0
34788000,47.397742164,8.54559428799,526.529,36.9976,-0.0,-0.0198605,-0.010072,-2.99377,0.00744625,2.29825,2.40037,0.0,2,0,0,0
34980000,47.3977421602,8.54559431295,527.104,37.5529,-0.0,-0.0219321,-0.0121876,-2.99554,0.00810832,2.29818,2.40033,0.0,2,0,0,0
35172000,47.3977421578,8.5455943262,527.679,38.1076,-0.0,-0.0203083,-0.0152237,-2.99699,0.00802124,2.29811,2.40029,0.0,2,0,0,0
35364000,47.3977421546,8.54559433963,528.254,38.6625,-0.0,-0.0179564,-0.0160972,-2.99806,0.00854586,2.29885,2.40034,0.0,2,0,0,0
35556000,47.397742148,8.54559436435,528.829,39.218,-0.0,-0.0188071,-0.0178624,-2.99752,0.00873997,2.29877,2.40043,0.0,2,0,0,0
35748000,47.3977421475,8.54559440179,529.405,39.7741,-0.0,-0.019124,-0.0156906,-2.99781,0.0086155,2.2987,2.40038,0.0,2,0,0,0
35940000,47.3977421439,8.54559442669,529.982,40.331,-0.0,-0.0199124,-0.0206157,-2.99728,0.00851327,2.29862,2.40034,0.0,2,0,0,0
36132000,47.3977421438,8.54559443589,530.557,40.8861,-0.0,-0.022478,-0.0249983,-2.9945,0.00822024,2.29855,2.40043,0.0,2,0,0,0
36324000,47.3977421402,8.54559443334,531.133,41.4418,-0.0,-0.0191698,-0.0216338,-2.99594,0.00799045,2.29847,2.40038,0.0,2,0,0,0
36516000,47.3977421327,8.54559443721,531.707,41.9962,-0.0,-0.0174568,-0.0206393,-2.99151,0.00767414,2.2984,2.40034,0.0,2,0,0,0
36708000,47.3977421295,8.54559443818,532.279,42.558,-0.0,-0.0163569,-0.0208135,-2.9884,0.00820399,2.29833,2.4003,0.0,2,0,0,0
36900000,47.3977421269,8.54559443998,532.851,43.1095,-0.0,-0.0158855,-0.019837,-2.99117,0.00845929,2.29826,2.40038,0.0,2,0,0,0
37092000,47.3977421362,8.54559443486,533.423,43.6614,-0.0,-0.0155114,-0.02088,-2.99264,0.00861447,2.29819,2.40034,0.0,2,0,0,0
37284000,47.3977421539,8.5455944081,533.998,44.2163,-0.0,-0.0138852,-0.0214685,-2.99579,0.00883401,2.29812,2.4003,0.0,2,0,0,0
