timestamp,timestamp_sample,control[0],control[1],control[2],control[3],control[4],control[5],control[6],control[7]
162112000,162112000,-0.00400966,0.00198595,-0.00214817,0.489956,0.0,0.0,0.0,1.0
162208000,162208000,0.000545018,-0.00292516,-0.000343734,0.490707,0.0,0.0,0.0,1.0
162304000,162304000,-0.0016265,-0.00830841,0.000454015,0.490275,0.0,0.0,0.0,1.0
162404000,162404000,-0.00151869,0.00489624,0.00147622,0.490494,0.0,0.0,0.0,1.0
162504000,162504000,0.000456535,0.00756467,0.000259046,0.49081,0.0,0.0,0.0,1.0
162604000,162604000,-0.00447025,0.000218902,0.00116942,0.490446,0.0,0.0,0.0,1.0
162700000,162700000,-0.000579534,-0.000268653,-0.000808477,0.491383,0.0,0.0,0.0,1.0
162796000,162796000,0.00600908,-0.000468593,0.00148914,0.491139,0.0,0.0,0.0,1.0
162896000,162896000,-0.00193702,0.00230612,-0.00167643,0.490578,0.0,0.0,0.0,1.0
162996000,162996000,-0.00214397,0.000915889,-0.000822196,0.490924,0.0,0.0,0.0,1.0
163092000,163092000,0.00103072,0.00816481,-0.000760054,0.490372,0.0,0.0,0.0,1.0
163188000,163188000,0.000720227,-0.00664264,-0.00188616,0.491423,0.0,0.0,0.0,1.0
163288000,163288000,-0.00717191,-0.000593103,-0.000860836,0.491548,0.0,0.0,0.0,1.0
163388000,163388000,0.00162649,-0.00594494,0.000568266,0.490466,0.0,0.0,0.0,1.0
163488000,163488000,-0.00129369,-0.00337666,0.0021501,0.490301,0.0,0.0,0.0,1.0
163588000,163588000,-0.0019806,0.00604891,0.00086204,0.489822,0.0,0.0,0.0,1.0
163684000,163684000,0.00511092,-0.00261118,-0.000379288,0.490235,0.0,0.0,0.0,1.0
163780000,163780000,-0.00579545,-0.00587474,0.000449407,0.489544,0.0,0.0,0.0,1.0
163880000,163880000,0.00112706,0.00379461,0.000338751,0.489511,0.0,0.0,0.0,1.0
163976000,163976000,-0.000446803,0.0044484,-0.000202861,0.491103,0.0,0.0,0.0,1.0
164076000,164076000,-0.00171431,-0.00236655,-6.68683e-05,0.491371,0.0,0.0,0.0,1.0
164172000,164172000,0.00503838,0.000894988,-0.000751255,0.49088,0.0,0.0,0.0,1.0
164272000,164272000,0.00256442,0.00426535,-0.00102465,0.492276,0.0,0.0,0.0,1.0
164372000,164372000,0.00180205,0.00194456,-0.000316592,0.492528,0.0,0.0,0.0,1.0
164472000,164472000,-0.000685083,-0.000182207,0.00200844,0.492346,0.0,0.0,0.0,1.0
164572000,164572000,-0.00367231,0.00386025,-0.000789215,0.491452,0.0,0.0,0.0,1.0
164672000,164672000,0.00149139,-0.00624737,-0.000153357,0.491868,0.0,0.0,0.0,1.0
164768000,164768000,-0.00133036,-0.00532585,7.0213e-05,0.491327,0.0,0.0,0.0,1.0
164864000,164864000,-0.003304,-0.0023637,0.000757744,0.490626,0.0,0.0,0.0,1.0
164960000,164960000,0.00481107,0.00190679,0.000814519,0.49129,0.0,0.0,0.0,1.0
165060000,165060000,0.00465781,0.00432815,0.000651997,0.490756,0.0,0.0,0.0,1.0
165156000,165156000,-0.00145706,-0.0167519,-0.000691556,0.488959,0.0,0.0,0.0,1.0
165252000,165252000,-0.00553924,0.00560649,-0.000446036,0.490096,0.0,0.0,0.0,1.0
165352000,165352000,-0.00300235,0.00485141,-0.00068427,0.49118,0.0,0.0,0.0,1.0
165448000,165448000,-0.00122193,-0.00171061,-0.000353534,0.490972,0.0,0.0,0.0,1.0
165548000,165548000,-0.00208361,0.000919634,0.00113498,0.490927,0.0,0.0,0.0,1.0
165644000,165644000,-0.000956662,-0.000969045,0.000454582,0.490624,0.0,0.0,0.0,1.0
165740000,165740000,0.00109749,-0.00581253,-0.00136312,0.490792,0.0,0.0,0.0,1.0
165840000,165840000,-0.000100178,-0.00278358,0.00160442,0.491439,0.0,0.0,0.0,1.0
165940000,165940000,0.0066654,-0.00561419,-0.000934677,0.491489,0.0,0.0,0.0,1.0
166040000,166040000,0.00344062,-0.00202174,0.00153946,0.492267,0.0,0.0,0.0,1.0
166140000,166140000,1.69113e-05,-0.00217629,-0.00209955,0.49263,0.0,0.0,0.0,1.0
166240000,166240000,-0.000383562,0.000909248,0.00183514,0.490939,0.0,0.0,0.0,1.0
