timestamp,rollspeed,pitchspeed,yawspeed,q[0],q[1],q[2],q[3],delta_q_reset[0],delta_q_reset[1],delta_q_reset[2],delta_q_reset[3],quat_reset_counter
369052000,0.00523338,-0.00161852,-0.00925744,0.999953,-0.00388214,0.00055786,-0.00885087,0.999998,3.70186e-06,4.70676e-06,-0.0020272,3
369080000,-0.00126685,0.0173799,-0.00875751,0.999954,-0.00388169,0.000662264,-0.00880443,0.999998,3.70186e-06,4.70676e-06,-0.0020272,3
369112000,0.00373321,-0.00912008,0.00424294,0.999953,-0.00393368,0.000660242,-0.00879793,0.999998,3.70186e-06,4.70676e-06,-0.0020272,3
369140000,-0.00626681,0.0168799,-0.00675689,0.999953,-0.0040151,0.000741772,-0.00877638,0.999998,3.70186e-06,4.70676e-06,-0.0020272,3
369168000,-0.00276682,-0.0101201,0.00324338,0.999952,-0.00413518,0.000732727,-0.00881239,0.999998,3.70186e-06,4.70676e-06,-0.0020272,3
369196000,-0.0227682,0.00537809,0.00324357,0.999952,-0.00420832,0.000698387,-0.00883534,0.999998,3.70186e-06,4.70676e-06,-0.0020272,3
369228000,-0.0022682,-0.0116219,0.00274378,0.999951,-0.00440689,0.000804587,-0.00880896,0.999998,3.70186e-06,4.70676e-06,-0.0020272,3
369256000,0.00173181,0.0193781,-0.00475626,0.999951,-0.00443677,0.000780679,-0.0087681,0.999998,3.70186e-06,4.70676e-06,-0.0020272,3
369284000,-0.0157702,-0.0161239,-0.00275617,0.999951,-0.00459478,0.000898796,-0.00872494,0.999998,3.70186e-06,4.70676e-06,-0.0020272,3
369312000,0.0137297,0.0323761,-0.00275584,0.999951,-0.00458051,0.000946509,-0.00869955,0.999998,3.70186e-06,4.70676e-06,-0.0020272,3
369344000,-0.00677022,-0.0131239,0.0032443,0.99995,-0.00461421,0.000985494,-0.00879332,0.999998,3.70186e-06,4.70676e-06,-0.0020272,3
369376000,0.000227623,0.0118747,0.0122448,0.99995,-0.00468127,0.00109578,-0.00874228,0.999998,3.70186e-06,4.70676e-06,-0.0020272,3
369404000,0.00572758,-0.00662534,0.00224465,0.999951,-0.00463705,0.00107165,-0.00865235,0.999998,3.70186e-06,4.70676e-06,-0.0020272,3
369436000,-0.00427241,0.00637467,0.00374495,0.999951,-0.00452849,0.00109677,-0.0087041,0.999998,3.70186e-06,4.70676e-06,-0.0020272,3
369468000,0.0037276,0.00587463,-0.00675474,0.999951,-0.00451146,0.00115414,-0.00876469,0.999998,3.70186e-06,4.70676e-06,-0.0020272,3
369496000,-0.00927388,0.00787343,0.000745339,0.999951,-0.00448983,0.00122242,-0.00875916,0.999998,3.70186e-06,4.70676e-06,-0.0020272,3
369528000,-0.00577388,0.00487342,-0.000254446,0.99995,-0.0045463,0.00130757,-0.00876778,0.999998,3.70186e-06,4.70676e-06,-0.0020272,3
369556000,0.00622611,0.00487343,-0.0107544,0.999951,-0.00454785,0.00132789,-0.0087091,0.999998,3.70186e-06,4.70676e-06,-0.0020272,3
369584000,0.00222542,-0.0206284,-0.00475408,0.999951,-0.0045455,0.00133561,-0.00872435,0.999998,3.70186e-06,4.70676e-06,-0.0020272,3
369612000,-0.00277459,0.0228716,-0.00275396,0.99995,-0.00459068,0.0013982,-0.00875468,0.999998,3.70186e-06,4.70676e-06,-0.0020272,3
369644000,0.0102254,-0.00162844,0.00324671,0.999951,-0.00458393,0.00140124,-0.00870171,0.999998,3.70186e-06,4.70676e-06,-0.0020272,3
369676000,-0.0102746,0.00237154,-0.000253044,0.999951,-0.00461849,0.00143302,-0.00867132,0.999998,3.70186e-06,4.70676e-06,-0.0020272,3
369704000,0.00372453,0.00786991,-0.00675278,0.999951,-0.00465864,0.00131752,-0.00868498,0.999998,3.70186e-06,4.70676e-06,-0.0020272,3
369732000,-0.00527555,-0.0191301,-0.0107526,0.99995,-0.00461572,0.00140447,-0.00874175,0.999998,3.70186e-06,4.70676e-06,-0.0020272,3
369760000,0.00222453,0.00486991,0.000747473,0.99995,-0.0046313,0.00127039,-0.00877148,0.999998,3.70186e-06,4.70676e-06,-0.0020272,3
369788000,0.00172381,-0.00913191,0.00724757,0.99995,-0.00463818,0.00131411,-0.00872015,0.999998,3.70186e-06,4.70676e-06,-0.0020272,3
369816000,0.0137238,0.0118681,-0.000752383,0.999951,-0.00458923,0.00121784,-0.00871627,0.999998,3.70186e-06,4.70676e-06,-0.0020272,3
369848000,0.000223806,0.00836806,-0.00725217,0.99995,-0.0045681,0.00121667,-0.00884018,0.999998,3.70186e-06,4.70676e-06,-0.0020272,3
